"ts_number","address","city","county","date","price","details","status","page_number","raw_data","row_index","table_index"
"127295-CA","51 Rainbow Ridge Road","Pomona","","10/15/2025","","127295-CA 51 Rainbow Ridge Road, Pomona CA, 91766 10/15/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 08/27/2025 to 10/15/2025","","7","127295-CA 51 Rainbow Ridge Road, Pomona CA, 91766 10/15/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 08/27/2025 to 10/15/2025","7","1"
"127764-CA","00 AM ENTRANCE OF THE EAST","Vista","","10/17/2025","","127764-CA 2005  Camino Culebra, Vista CA, 92084 10/17/2025 09:00 AM ENTRANCE OF THE EAST COUNTY REGIONAL CENTER, 250 E. MAIN STREET, EL CAJON, CA 92020  From 08/08/2025 to 10/17/2025","","7","127764-CA 2005  Camino Culebra, Vista CA, 92084 10/17/2025 09:00 AM ENTRANCE OF THE EAST COUNTY REGIONAL CENTER, 250 E. MAIN STREET, EL CAJON, CA 92020  From 08/08/2025 to 10/17/2025","8","1"
"132804-CA","30 PM Outside the Memorial Court gates by Van Ness Avenue","San Francisco","","10/16/2025","","132804-CA 887  40Th Ave, San Francisco CA, 94121 10/16/2025 01:30 PM Outside the Memorial Court gates by Van Ness Avenue between 301 and 401 Van Ness Avenue, San Francisco, CA 94102  From 07/17/2025 to 10/16/2025","","7","132804-CA 887  40Th Ave, San Francisco CA, 94121 10/16/2025 01:30 PM Outside the Memorial Court gates by Van Ness Avenue between 301 and 401 Van Ness Avenue, San Francisco, CA 94102  From 07/17/2025 to 10/16/2025","9","1"
"134304-CA","7702  Cassia Ave","Riverside","","10/15/2025","","134304-CA 7702  Cassia Ave, Riverside CA, 92504 10/15/2025 01:00 PM In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882  From 08/20/2025 to 10/15/2025","","7","134304-CA 7702  Cassia Ave, Riverside CA, 92504 10/15/2025 01:00 PM In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882  From 08/20/2025 to 10/15/2025","10","1"
"129377-CA","350 W Poplar St","Compton","","10/16/2025","","129377-CA 350 W Poplar St, Compton CA, 90220 10/16/2025 09:00 AM VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE,  NORWALK, CA 90650","","7","129377-CA 350 W Poplar St, Compton CA, 90220 10/16/2025 09:00 AM VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE,  NORWALK, CA 90650","11","1"
"132366-CA","1255 Michigan Avenue","Beaumont","","10/15/2025","","132366-CA 1255 Michigan Avenue, Beaumont CA, 92223 10/15/2025 01:00 PM In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882","","7","132366-CA 1255 Michigan Avenue, Beaumont CA, 92223 10/15/2025 01:00 PM In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882","12","1"
"130732-CA","8131  Washington Ave","Whittier","","10/16/2025","","130732-CA 8131  Washington Ave, Whittier CA, 90602 10/16/2025 09:00 AM VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE,  NORWALK, CA 90650","","7","130732-CA 8131  Washington Ave, Whittier CA, 90602 10/16/2025 09:00 AM VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE,  NORWALK, CA 90650","13","1"
"120171-CA","6252 Nita Avenue","Pomona","","09/02/2025","","120171-CA 6252 Nita Avenue, Woodland Hills CA, 91367 09/02/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/29/2025 to 09/02/2025","","7","120171-CA 6252 Nita Avenue, Woodland Hills CA, 91367 09/02/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/29/2025 to 09/02/2025","14","1"
"122491-CA","11341  Glenoaks Blvd","Los Angeles","","09/02/2025","","122491-CA 11341  Glenoaks Blvd, Los Angeles CA, 91331 09/02/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/29/2025 to 09/02/2025","","7","122491-CA 11341  Glenoaks Blvd, Los Angeles CA, 91331 09/02/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/29/2025 to 09/02/2025","15","1"
"118228-CA","4200 Mc Namara Way","Sacramento","","09/02/2025","","118228-CA 4200 Mc Namara Way, Sacramento CA, 95823 09/02/2025 02:00 PM At the main entrance to the County Courthouse, 720 9th Street, Sacramento, CA 95814  From 07/29/2025 to 09/02/2025","","7","118228-CA 4200 Mc Namara Way, Sacramento CA, 95823 09/02/2025 02:00 PM At the main entrance to the County Courthouse, 720 9th Street, Sacramento, CA 95814  From 07/29/2025 to 09/02/2025","16","1"
"131291-CA","13220 CENTRAL AVE","Chino","","09/02/2025","","131291-CA 18535  9Th St, Bloomington CA, 92316 09/02/2025 01:00 PM NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710  From 07/14/2025 to 09/02/2025","","7","131291-CA 18535  9Th St, Bloomington CA, 92316 09/02/2025 01:00 PM NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710  From 07/14/2025 to 09/02/2025","17","1"
"120294-CA","610 MONTECITO DR","Los Angeles","","09/02/2025","","120294-CA 610 MONTECITO DR, LOS ANGELES CA, 90031 09/02/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/29/2025 to 09/02/2025","","7","120294-CA 610 MONTECITO DR, LOS ANGELES CA, 90031 09/02/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/29/2025 to 09/02/2025","18","1"
"104054-CA","27917 Mineral School Rd","Vista","","09/02/2025","","104054-CA 27917 Mineral School Rd, Bella Vista CA, 96008 09/02/2025 11:00 AM AT THE SOUTH ENTRANCE TO THE SHASTA COUNTY ADMINISTRATION BUILDING LOCATED AT 1450 COURT STREET, REDDING, CA 96001","","7","104054-CA 27917 Mineral School Rd, Bella Vista CA, 96008 09/02/2025 11:00 AM AT THE SOUTH ENTRANCE TO THE SHASTA COUNTY ADMINISTRATION BUILDING LOCATED AT 1450 COURT STREET, REDDING, CA 96001","19","1"
"127390-CA","61313 EL COYOTE LN","Joshua Tree","","09/02/2025","","127390-CA 61313 EL COYOTE LN, JOSHUA TREE CA, 92252 09/02/2025 01:00 PM NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710","","7","127390-CA 61313 EL COYOTE LN, JOSHUA TREE CA, 92252 09/02/2025 01:00 PM NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710","20","1"
"127879-CA","13220 CENTRAL AVE","Chino","","09/02/2025","","127879-CA 53105 Chia Trail, Pioneertown CA, 92268 09/02/2025 01:00 PM NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710","","7","127879-CA 53105 Chia Trail, Pioneertown CA, 92268 09/02/2025 01:00 PM NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710","21","1"
"087849-CA","427 N Boylston Street","Los Angeles","","09/02/2025","","087849-CA 427 N Boylston Street, Los Angeles CA, 90012 09/02/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/29/2025 to 09/02/2025","","7","087849-CA 427 N Boylston Street, Los Angeles CA, 90012 09/02/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/29/2025 to 09/02/2025","22","1"
"122515-CA","2035  Diggs Ct","West Sacramento","","08/29/2025","","122515-CA 2035  Diggs Ct, Woodland CA, 95776 08/29/2025 01:00 PM AT THE NORTH ENTRANCE TO THE WEST SACRAMENTO CITY HALL, 1110 W. CAPITOL AVENUE, WEST SACRAMENTO, CA 95691  From 06/23/2025 to 08/29/2025","","7","122515-CA 2035  Diggs Ct, Woodland CA, 95776 08/29/2025 01:00 PM AT THE NORTH ENTRANCE TO THE WEST SACRAMENTO CITY HALL, 1110 W. CAPITOL AVENUE, WEST SACRAMENTO, CA 95691  From 06/23/2025 to 08/29/2025","23","1"
"122017-CA","4463 N Meridian Ave","Fresno","","08/29/2025","","122017-CA 4463 N Meridian Ave, Fresno CA, 93726 08/29/2025 10:30 AM AT THE BACKSIDE OF THE COUNTY COURTHOUSE BUILDING AT 1100 VAN NESS, FRESNO, CA 93724  From 07/11/2025 to 08/29/2025","","7","122017-CA 4463 N Meridian Ave, Fresno CA, 93726 08/29/2025 10:30 AM AT THE BACKSIDE OF THE COUNTY COURTHOUSE BUILDING AT 1100 VAN NESS, FRESNO, CA 93724  From 07/11/2025 to 08/29/2025","24","1"
"126651-CA","606 E Elm St","Brea","","08/29/2025","","126651-CA 606 E Elm St, Brea CA, 92821 08/29/2025 09:00 AM AUCTION.COM, DOUBLETREE BY HILTON HOTEL ANAHEIM - ORANGE COUNTY, 100 THE CITY DRIVE, ORANGE, CA 92868  From 07/21/2025 to 08/29/2025","","7","126651-CA 606 E Elm St, Brea CA, 92821 08/29/2025 09:00 AM AUCTION.COM, DOUBLETREE BY HILTON HOTEL ANAHEIM - ORANGE COUNTY, 100 THE CITY DRIVE, ORANGE, CA 92868  From 07/21/2025 to 08/29/2025","25","1"
"092119-CA","17315 Ibex Ave","Cerritos","","09/02/2025","","092119-CA 17315 Ibex Ave, Cerritos CA, 90703 09/02/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/29/2025 to 09/02/2025","","8","092119-CA 17315 Ibex Ave, Cerritos CA, 90703 09/02/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/29/2025 to 09/02/2025","1","1"
"131309-CA","2011 W Holt Avenue","El Centro","","08/29/2025","","131309-CA 2011 W Holt Avenue, El Centro CA, 92243 08/29/2025 02:00 PM AT THE MAIN ENTRANCE OF THE IMPERIAL COUNTY COURTHOUSE, 939 W. MAIN STREET, EL CENTRO, CA 92243","","8","131309-CA 2011 W Holt Avenue, El Centro CA, 92243 08/29/2025 02:00 PM AT THE MAIN ENTRANCE OF THE IMPERIAL COUNTY COURTHOUSE, 939 W. MAIN STREET, EL CENTRO, CA 92243","2","1"
"131956-CA","39832 Potrero Drive","Newark","","08/28/2025","","131956-CA 39832 Potrero Drive, Newark CA, 94560 08/28/2025 12:00 PM At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612  From 07/23/2025 to 08/28/2025","","8","131956-CA 39832 Potrero Drive, Newark CA, 94560 08/28/2025 12:00 PM At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612  From 07/23/2025 to 08/28/2025","3","1"
"134754-CA","188 Minna Street","San Francisco","","08/28/2025","","134754-CA 188 Minna Street, San Francisco CA, 94105 08/28/2025 01:30 PM Outside the Memorial Court gates by Van Ness Avenue between 301 and 401 Van Ness Avenue, San Francisco, CA 94102","","8","134754-CA 188 Minna Street, San Francisco CA, 94105 08/28/2025 01:30 PM Outside the Memorial Court gates by Van Ness Avenue between 301 and 401 Van Ness Avenue, San Francisco, CA 94102","4","1"
"132375-CA","27745  Andrea St","Hayward","","08/28/2025","","132375-CA 27745  Andrea St, Hayward CA, 94544 08/28/2025 12:00 PM At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612","","8","132375-CA 27745  Andrea St, Hayward CA, 94544 08/28/2025 12:00 PM At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612","5","1"
"137044-CA","1930 LOS ROBLES BLVD","Sacramento","","08/28/2025","","137044-CA 1930 LOS ROBLES BLVD, SACRAMENTO CA, 95838 08/28/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814","","8","137044-CA 1930 LOS ROBLES BLVD, SACRAMENTO CA, 95838 08/28/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814","6","1"
"132053-CA","1020  Mt Aukum Ct","Somerset","","08/28/2025","","132053-CA 1020  Mt Aukum Ct, Somerset CA, 95684 08/28/2025 01:00 PM AT THE MAIN ENTRANCE TO THE EL DORADO COUNTY SUPERIOR COURTHOUSE, PLACERVILLE MAIN STREET BRANCH, 495 MAIN STREET, PLACERVILLE, CA 95667","","8","132053-CA 1020  Mt Aukum Ct, Somerset CA, 95684 08/28/2025 01:00 PM AT THE MAIN ENTRANCE TO THE EL DORADO COUNTY SUPERIOR COURTHOUSE, PLACERVILLE MAIN STREET BRANCH, 495 MAIN STREET, PLACERVILLE, CA 95667","7","1"
"134518-CA","16152  Easy St","Stockton","","08/28/2025","","134518-CA 16152  Easy St, Lathrop CA, 95330 08/28/2025 09:00 AM EAST WEBER AVENUE ENTRANCE, SAN JOAQUIN COUNTY COURTHOUSE, 222 E. WEBER AVENUE, STOCKTON, CA 95202","","8","134518-CA 16152  Easy St, Lathrop CA, 95330 08/28/2025 09:00 AM EAST WEBER AVENUE ENTRANCE, SAN JOAQUIN COUNTY COURTHOUSE, 222 E. WEBER AVENUE, STOCKTON, CA 95202","8","1"
"089484-CA","342  Quadra Ave","Sacramento","","08/28/2025","","089484-CA 342  Quadra Ave, Rio Linda CA, 95673 08/28/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814  From 06/26/2025 to 08/28/2025","","8","089484-CA 342  Quadra Ave, Rio Linda CA, 95673 08/28/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814  From 06/26/2025 to 08/28/2025","9","1"
"123382-CA","32  Poinsettia Grdns Dr","Ventura","","08/28/2025","","123382-CA 32  Poinsettia Grdns Dr, Ventura CA, 93004 08/28/2025 09:00 AM Auction.com Room, Four Points by Sheraton Ventura Harbor Resort, 1050 Schooner Drive, Ventura, CA 93001  From 07/17/2025 to 08/28/2025","","8","123382-CA 32  Poinsettia Grdns Dr, Ventura CA, 93004 08/28/2025 09:00 AM Auction.com Room, Four Points by Sheraton Ventura Harbor Resort, 1050 Schooner Drive, Ventura, CA 93001  From 07/17/2025 to 08/28/2025","10","1"
"128352-CA","00 PM At the Fallon Street","Pleasanton","","08/28/2025","","128352-CA 6183 Corte Padre, Pleasanton CA, 94566 08/28/2025 12:00 PM At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612  From 07/23/2025 to 08/28/2025","","8","128352-CA 6183 Corte Padre, Pleasanton CA, 94566 08/28/2025 12:00 PM At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612  From 07/23/2025 to 08/28/2025","11","1"
"127665-CA","8319 Story Ridge Way","Sacramento","","08/28/2025","","127665-CA 8319 Story Ridge Way, Antelope CA, 95843 08/28/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814  From 06/26/2025 to 08/28/2025","","8","127665-CA 8319 Story Ridge Way, Antelope CA, 95843 08/28/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814  From 06/26/2025 to 08/28/2025","12","1"
"126507-CA","9475 Mandrake Ct","Elk Grove","","08/28/2025","","126507-CA 9475 Mandrake Ct, Elk Grove CA, 95624 08/28/2025 01:30 PM At the main entrance to the County Courthouse, 720 9th Street, Sacramento, CA 95814  From 07/31/2025 to 08/28/2025","","8","126507-CA 9475 Mandrake Ct, Elk Grove CA, 95624 08/28/2025 01:30 PM At the main entrance to the County Courthouse, 720 9th Street, Sacramento, CA 95814  From 07/31/2025 to 08/28/2025","13","1"
"083367-CA","6040 GRACIOSA DR","Los Angeles","","08/28/2025","","083367-CA 6040 GRACIOSA DR, LOS ANGELES CA, 90068 08/28/2025 10:00 AM Behind the fountain located in Civic Center Plaza, 400 Civic Center Plaza, Pomona, CA  91766","","8","083367-CA 6040 GRACIOSA DR, LOS ANGELES CA, 90068 08/28/2025 10:00 AM Behind the fountain located in Civic Center Plaza, 400 Civic Center Plaza, Pomona, CA  91766","14","1"
"130939-CA","951 W Princeton Ave","Visalia","","08/28/2025","","130939-CA 951 W Princeton Ave, Visalia CA, 93277 08/28/2025 02:00 PM AT THE FRONT ENTRANCE TO THE CITY HALL, 411 E. KERN AVE., TULARE, CA 93274","","8","130939-CA 951 W Princeton Ave, Visalia CA, 93277 08/28/2025 02:00 PM AT THE FRONT ENTRANCE TO THE CITY HALL, 411 E. KERN AVE., TULARE, CA 93274","15","1"
"126761-CA","1898 PATTY DR","Yuba City","","08/28/2025","","126761-CA 1898 PATTY DR, YUBA CITY CA, 95993 08/28/2025 03:00 PM At the main entrance to the old County Courthouse located at 446 Second Street, Yuba City, CA 95991  From 08/14/2025 to 08/28/2025","","8","126761-CA 1898 PATTY DR, YUBA CITY CA, 95993 08/28/2025 03:00 PM At the main entrance to the old County Courthouse located at 446 Second Street, Yuba City, CA 95991  From 08/14/2025 to 08/28/2025","16","1"
"128828-CA","7017 SCOTT RD","Mariposa","","08/28/2025","","128828-CA 7017 SCOTT RD, MARIPOSA CA, 95338 08/28/2025 10:00 AM OUTSIDE THE MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 5088 BULLION ST., MARIPOSA, CA 95338","","8","128828-CA 7017 SCOTT RD, MARIPOSA CA, 95338 08/28/2025 10:00 AM OUTSIDE THE MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 5088 BULLION ST., MARIPOSA, CA 95338","17","1"
"137049-CA","10560 CANYON VISTA RD","Vista","","08/27/2025","","137049-CA 10560 CANYON VISTA RD, MORENO VALLEY CA, 92557 08/27/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882","","8","137049-CA 10560 CANYON VISTA RD, MORENO VALLEY CA, 92557 08/27/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882","18","1"
"136055-CA","10751 DEERFIELD DR","Corona","","08/27/2025","","136055-CA 10751 DEERFIELD DR, CHERRY VALLEY CA, 92223 08/27/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882","","8","136055-CA 10751 DEERFIELD DR, CHERRY VALLEY CA, 92223 08/27/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882","19","1"
"030333-CA","3320 MONCUCCO WAY","San Jose","","08/27/2025","","030333-CA 3320 MONCUCCO WAY, SAN JOSE CA, 95148 08/27/2025 10:00 AM At the Gated North Market Street entrance of the Superior Courthouse, 191 N. First Street, San Jose, CA  95113  From 07/30/2025 to 08/27/2025","","8","030333-CA 3320 MONCUCCO WAY, SAN JOSE CA, 95148 08/27/2025 10:00 AM At the Gated North Market Street entrance of the Superior Courthouse, 191 N. First Street, San Jose, CA  95113  From 07/30/2025 to 08/27/2025","20","1"
"128090-CA","34081  Albacete Avenue","Murrieta","","08/27/2025","","128090-CA 34081  Albacete Avenue, Murrieta CA, 92563 08/27/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882  From 06/25/2025 to 08/27/2025","","8","128090-CA 34081  Albacete Avenue, Murrieta CA, 92563 08/27/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882  From 06/25/2025 to 08/27/2025","21","1"
"118407-CA","325  I St","Petaluma","","08/27/2025","","118407-CA 325  I St, Petaluma CA, 94952 08/27/2025 10:00 AM IN THE PLAZA AT FREMONT PARK, FREMONT PARK, 860 FIFTH STREET, SANTA ROSA, CA 95401  From 08/13/2025 to 08/27/2025","","8","118407-CA 325  I St, Petaluma CA, 94952 08/27/2025 10:00 AM IN THE PLAZA AT FREMONT PARK, FREMONT PARK, 860 FIFTH STREET, SANTA ROSA, CA 95401  From 08/13/2025 to 08/27/2025","22","1"
"129893-CA","34618  Boros Blvd","Beaumont","","08/27/2025","","129893-CA 34618  Boros Blvd, Beaumont CA, 92223 08/27/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882  From 07/23/2025 to 08/27/2025","","8","129893-CA 34618  Boros Blvd, Beaumont CA, 92223 08/27/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882  From 07/23/2025 to 08/27/2025","23","1"
"131854-CA","609  Barcelona Dr","San Mateo","","08/27/2025","","131854-CA 609  Barcelona Dr, Millbrae CA, 94030 08/27/2025 01:00 PM MARSHALL ST. ENTRANCE, SAN MATEO COUNTY COURTHOUSE, SOUTHERN BRANCH HALL OF JUSTICE & RECORDS, 400 COUNTY CENTER, REDWOOD CITY, CA 94063  From 06/18/2025 to 08/27/2025","","8","131854-CA 609  Barcelona Dr, Millbrae CA, 94030 08/27/2025 01:00 PM MARSHALL ST. ENTRANCE, SAN MATEO COUNTY COURTHOUSE, SOUTHERN BRANCH HALL OF JUSTICE & RECORDS, 400 COUNTY CENTER, REDWOOD CITY, CA 94063  From 06/18/2025 to 08/27/2025","24","1"
"108413-CA","11622  Glamis St","Pomona","","08/27/2025","","108413-CA 11622  Glamis St, Sylmar CA, 91342 08/27/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 08/06/2025 to 08/27/2025","","8","108413-CA 11622  Glamis St, Sylmar CA, 91342 08/27/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 08/06/2025 to 08/27/2025","25","1"
"135582-CA","14471 ESSEX CT","Magalia","","08/27/2025","","135582-CA 14471 ESSEX CT, MAGALIA CA, 95954 08/27/2025 03:30 PM Outside the Main Entrance to the Butte County Courthouse located at 1 Court Street, Oroville, CA 95965","","9","135582-CA 14471 ESSEX CT, MAGALIA CA, 95954 08/27/2025 03:30 PM Outside the Main Entrance to the Butte County Courthouse located at 1 Court Street, Oroville, CA 95965","1","1"
"131163-CA","20462  Roslin Ave","Torrance","","08/27/2025","","131163-CA 20462  Roslin Ave, Torrance CA, 90503 08/27/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/23/2025 to 08/27/2025","","9","131163-CA 20462  Roslin Ave, Torrance CA, 90503 08/27/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766  From 07/23/2025 to 08/27/2025","2","1"
"133255-CA","19 Wightman Court","Antioch","","08/27/2025","","133255-CA 19 Wightman Court, Antioch CA, 94509 08/27/2025 01:30 PM AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565","","9","133255-CA 19 Wightman Court, Antioch CA, 94509 08/27/2025 01:30 PM AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565","3","1"
"134824-CA","586 Larkspur Lane","Imperial","","08/27/2025","","134824-CA 586 Larkspur Lane, Imperial CA, 92251 08/27/2025 02:00 PM AT THE FRONT STEPS OF THE COUNTY COURTHOUSE, 939 MAIN ST., EL CENTRO, CA 92243","","9","134824-CA 586 Larkspur Lane, Imperial CA, 92251 08/27/2025 02:00 PM AT THE FRONT STEPS OF THE COUNTY COURTHOUSE, 939 MAIN ST., EL CENTRO, CA 92243","4","1"
"127894-CA","30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PL","Palmdale","","08/27/2025","","127894-CA 2720 Moonwort Terrace, Palmdale CA, 93551 08/27/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766","","9","127894-CA 2720 Moonwort Terrace, Palmdale CA, 93551 08/27/2025 10:30 AM BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766","5","1"
"134635-CA","6112 ARROYO RD","Corona","","08/27/2025","","134635-CA 6112 ARROYO RD UNIT 1, PALM SPRINGS CA, 92264 08/27/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882","","9","134635-CA 6112 ARROYO RD UNIT 1, PALM SPRINGS CA, 92264 08/27/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882","6","1"
"129593-CA","103  Mojonera Ct","Los Gatos","","08/27/2025","","129593-CA 103  Mojonera Ct, Los Gatos CA, 95032 08/27/2025 10:00 AM AT THE GATED NORTH MARKET STREET ENTRANCE, SUPERIOR COURTHOUSE, 191 N. 1st Street, San Jose, CA 95113","","9","129593-CA 103  Mojonera Ct, Los Gatos CA, 95032 08/27/2025 10:00 AM AT THE GATED NORTH MARKET STREET ENTRANCE, SUPERIOR COURTHOUSE, 191 N. 1st Street, San Jose, CA 95113","7","1"
